S/N,Date,Tweets
134,13/08/24,Close your nose nowadays Yeye Dey smell -Erigga
135,13/08/24,A cured patient is a lost customer
136,11/08/24,Entitlement is The Senior Brother To Witchcraft
137,11/08/24,I miss my fake friends fr cuz i used to have fun with those snakes 🐍 🙃
138,11/08/24,Thank God say dem no Dey pay to sleep
139,11/08/24,Omo sleep too sweet
140,10/08/24,"If you tell the truth, you don't have to remember anything."
141,10/08/24,Are you mad ? Na question Abi na insult?
142,10/08/24,"When you start making money, you will understand that weekend is not for washing clothes 🌚"
143,10/08/24,"Taking a lady to a beer parlour is not a date. 
It’s called comot"
144,10/08/24,I feel like say devil na excuse when man create to blame all he failures and wickedness on 💨👋
145,10/08/24,"People when humble and people when life humble, you know the difference???"
146,10/08/24,"I remember that year wen man gats increase age to fit in and get the girls & now man gats reduce like 10 years to avoid questions like ""are you married"" ""how many kids do you have"" why are you not married yet""

like say na me create myself 🤦"
147,10/08/24,The saddest part about this relationship thing is that you could be doing everything right and still get dumped.
148,10/08/24,"You can be a wife material and still not be his choice. Not because you're not good enough, but because he's not looking for a wife.
He's looking for fun, chill, games and nothing serious. Let him do that but with someone else! You deserve better!!!"
149,10/08/24,"I have learned one thing about life but I no go tell una 

Make everybody go learn he own 🗿☕️"
150,09/08/24,At this point if devil decide to do giveaway here many of una go still drop azza 🤦
151,09/08/24,"As I Dey like this 💨 now , even 3 na crowd 🛸🚀"
152,09/08/24,Pain will leave once it is done teaching you..
153,09/08/24,Na big man this economy affect pass like dis oh
154,08/08/24,"Ever wondered how the life of a substitute goal keeper will be ?

The only way you can ever keep in a match is if the main goalkeeper is totally finished
But still... Weekly Salary for sitting on the bench !

That's gangster"
155,08/08/24,Na this Kolo king wan stress me naw 🤦💨😂
156,08/08/24,The world is a ghetto 💨🙃
157,07/08/24,Can you get married to the last person you slept with ?
158,07/08/24,Why I no go high when cost of living self Dey high.
159,07/08/24,I don go employ lazy man 🤦
160,07/08/24,Now let me get back to work 🚀🌿💨
161,07/08/24,"The truth is we're always too busy speaking our mind that we forget to listen to what's being said. 

One of the most sincere forms of respect is actually listening to someone else's
viewpoint. 

Try to be a good listener. 

Unlike your mouth, your ears will not get you in trouble."
162,07/08/24,She is cheating on you if she hides her phone from you…
163,07/08/24,Women want rough sex with men they love…
164,07/08/24,"Lack of satisfying sex makes women angry
"
165,07/08/24,Avoid having sex with a woman you don't love
166,07/08/24,"If you nor risk Am. Na only food money you go Dey see

If you come Risk am. You fit no even Dey see food money again"
167,07/08/24,"I still gat joy in caos 🎶 

Even Christain (Christ like) dey caos. Dem just dey find joy in God, so moral of the story
Caos na better Brah! You can't pray against Caos you can only ask for joy!"
168,07/08/24,This adulthood the goal na to find joy in caos cause Caos na must! Joy is sold separately!
169,07/08/24,"Na only pikin fit enjoy joy without caos.
Gone are those days"
170,07/08/24,"Not that it is though but think about it, how many times have you been in the other person's situation?"
171,07/08/24,Some of you are just fighting battles with yourself but you keep blaming the WORLD
172,06/08/24,Who be Solomon Grundy?
173,06/08/24,"Tell the world watin you want under this handle with 3million followers 

Talk your mind 

🎤💨"
174,06/08/24,No matter how wicked person be if he kpai some people go still cry
175,06/08/24,"Pain will end, tears will stop, and doors will open. Be patient and trust God!!!"
176,06/08/24,Everybody with watin Dey pain them but you watin Dey pain you ?? 🎤
177,06/08/24,God Dey hear all our pain continue to grind 🪂
178,06/08/24,Answered prayers 🙏
179,05/08/24,THE WORLD IS IN A HUGE MESS
180,05/08/24,Not every table with an open chair is for you to sit at sometimes.you have to build your own.
181,05/08/24,Watin I wan talk when you never talk before ?
182,05/08/24,God is great 🪴
183,03/08/24,IN THE END WE ALL BECOME MEMORIES
184,03/08/24,Unless na you create God 💨⏱️🚀
185,02/08/24,"Remove your eyes from someone's achievements.

That glory you see has a story that you may not have survived if it was your Battle."
186,02/08/24,Smokes and mirrors 💨⏱️
187,01/08/24,We are tired sir 💨⏱️
188,01/08/24,Psychological warfare 💨🚀🚀
189,01/08/24,Vybz kartel is out 💨🚀🚀🚀
190,01/08/24,Abeg how later in the day go be naw?
191,01/08/24,Happy new month children of bad things 💨🚀
192,01/08/24,"The way you treat your drivers and cleaners tells me everything about you, not the way you treat your rich friends"
193,31/07/24,People no go support you when you dey struggle but once you make am like this automatically you don become everybody blood... WHEN MY MAMA BORN YOU ?
194,31/07/24,"Make I go sleep tomorrow be like watin go long … 

and also no matter what happens try get sub"
195,31/07/24,Hate is a  dirty drug
196,31/07/24,"If them no spoil your name , how the story wan take sweet?"
197,31/07/24,If you want make dem fear you read books
198,31/07/24,Too many humans not enough souls
199,31/07/24,No be me go need to see therapist na therapist go need to see me 💨🪂
200,31/07/24,Balance go soon bring fight 🪂
201,31/07/24,Area and character >
202,31/07/24,Na now  P square suppose sing “ e no easy eh “
203,31/07/24,"You start changing the way you looking at shit , the shit you start looking at change 💨⏱️"
204,30/07/24,I don't bite the hand that feeds me bc 99% of the time they're my hands.
205,30/07/24,Some Nigerians no get shame
206,30/07/24,E get the kind shege your eye go see... you go first laugh 😂
207,30/07/24,Once again I ask “ who “ really get this country?
208,29/07/24,"20k to pack 20million Naira weekly 🤣😂

Dey  play"
209,28/07/24,"How did these mosquitoes enter Noah's ark? and not only that, they later found their way to Lagos Nigeria mostly Lekki. 

Who transported these
MF ⏱️🤦"
210,28/07/24,"And I still Dey repeat am

 “May we not become so poor that we'll fight against the truth just to eat.”"
211,28/07/24,You and person go Dey live together next thing Nedu don Dey ask am questions about una matter 😂🤣 for podcast
212,27/07/24,Everywhere clear so ?
213,27/07/24,How much to start new relationship for Nigeria now 🙂‍↕️
214,25/07/24,"Some of our papa lost their girls to owners of this car 💨🪂⏱️ 

some almost depressed 

This post was never about this car or girls 💨⏱️"
215,25/07/24,"Still street till date 💨🪂 

“On the road “with my warri brothers 💨💨💨"
216,26/07/24,One day one day this app go tire us too
217,25/07/24,From today I declare peace upon this app ✊
218,25/07/24,Is bbl going out of fashion ???
219,25/07/24,Snapchat Private story & porn 🤞🏼
220,25/07/24,"This generation doesn't know how to build healthy relationships. We end up saying things like ""I don't owe anyone anything,"" but we do owe people something..

You owe an apology to those you've offended.
You owe gratitude to those who have supportec you. And you owe respect to those you've disrespected.

Taking accountability is a personal act of integrity and moral principles. We will continue to live in a broken society until we learn to take responsibility for our actions that negatively impact others lives.."
221,24/07/24,How you take sure say we no be AI ?
222,24/07/24,"Going back to space, earth don tire me !!! 

We wan go rest small

 @isokoboy12"
223,24/07/24,I still know what you did last summer 🤣😂
224,24/07/24,I lied to you sorry 🤣😂
225,24/07/24,What are you doing to make this bread or you just Dey my comments Dey troll ?
226,24/07/24,Imagine being born because your mother needed chips and chicken
227,24/07/24,What’s that one thing you want but you can’t afford right now ?
228,24/07/24,Who go fuck you no go stress you 💨🪂
229,24/07/24,I love Nigeria regardless 🇳🇬
230,24/07/24,Before what goes around come back around I don enter Keke reach house no time 🤣😂
231,24/07/24,"Dear lord 

Please we need funds to fight our enemies not strength 

We no be jet li"
232,24/07/24,"Dem fit go pay one of us to kill one of us just to say na one of us run am 🪂🪂🤦 … 

world leaders don start"
233,24/07/24,Add Banga soup if you want finish king lol 😂
