S/N,Date,Tweet
222,18/10/20,Good morning o. #EndSARS!! #EndSARS!! #Endsars!! 🇳🇬💔
223,17/10/20,#Endsars #Endpolicebrutality 🇳🇬💔🖤
224,15/10/20,I love this song! #NewNigeria!!!
225,13/10/20,Not yet !! Mad times!! 💔🇳🇬
226,14/10/20,Starboy/Wizkid Same Same!! #Endsars! #EndSwat #Endpolicebrutality
227,12/10/20,#SARSMUSTEND
228,12/10/20,#ENDSARS do the right thing. The youths will listen!! #Endpolicebrutality
229,11/10/20,Next election we show real power #EndpolicebrutalityinNigeria🇳🇬💔
230,11/10/20,My brother they replied us... no? Now they know we have a voice!!! And we the youths understand the power we have. We shall continue to speak up about other pressing issues/police brutality and good governance! Why I said “This is just the beginning”
231,11/10/20,#Endpolicebrutality
232,1/10/20,This is not about me/You or any individual !! This is for us and the next generation to come! Love everybody! ❤️
233,11/10/20,This is just the beginning!! We won our fight to #ENDSARS .. now Reform the Nigerian police!! #Endpolice brutality! We deserve good governance! #Endpolicebrutality
234,11/10/20,Now my people .. you see what our voices did...this is the beginning of a new Nigeria! Nigerian youths!! Know your rights and fight for it ! You deserve it. We all deserve it!!
235,9/10/20,@Laurestar old woman.... “see your mates” God bless every woman #EndSARS
236,9/10/20,You think they had some time to discuss SARS?
237,9/10/20,#endsars #endpolicebrutality 🇳🇬💔
238,6/10/20,lol a 77 year old man is not young ma.. You are a woman and a mother and kids are getting killed by police/sars and this is all you have to say? shame on you!!! shame on you!! I am a father and age has nothing to do with demanding for a better governance in my country!!
239,6/10/20,#EndSars #Endpolicebrutality
240,4/10/20,"Donald trump is not your business! 
Old man! Police/Sarz still killing 
Nigerian youth on a daily! Do something!
Nothing concern u for America! 
Face your country !!"
241,4/10/20,#EndSARS
242,4/10/20,No Wahala🤨🦅
243,2/10/20,We stand. 🦅💚
244,2/10/20,Mo wa pelu yin ❤️🇳🇬🦅
245,30/9/20,On da way! 🦅
246,30/09/20,OCTOBER 🇳🇬🇳🇬🇳🇬
247,30/09/20,Stay tuned 👀
248,24/9/20,Thank You for making this special 🦅❤️
249,24/9/20,Zion 🖤
250,24/9/20,Ayo 🖤
251,24/9/20,Bolu 🖤
252,22/9/20,Lagos ❤️🦅
253,24/9/20,God is good! 💙💙💙💙
254,23/9/20,Smile 😊
255,22/9/20,No Stress!
256,17/9/20,No Stress ❌❌❌
257,16/9/20,No stress 🦅
258,31/7/20,Good day to wake up! Disney owe me $100M !! 😎
259,28/7/20,😂😂 never ever ever !! ❤
260,27/7/20,My woman made me fried rice and Suya!!. Blessed day. Enjoy yours❤
261,27/7/20,Go listen to my family!!! ❤❤
262,27/7/20,MOB
263,26/7/20,Satisfy my soul 🎶
264,15/7/20,SMILE!!
265,15/7/20,Zion sending Love to you and yours! ❤
266,11/7/20,SMILE
267,11/7/20,😂🤣 Love UNA!! ❤
268,11/7/20,My brudda. I no see anything o 🤓
269,11/7/20,That was quick 😭❤
270,11/7/20,🤣 MY G!
271,11/7/20,Yes sir!!
272,11/7/20,💥 dope !!! ❤
273,9/7/20,SMILE
274,12/6/20,Blessed beyond words
275,11/6/20,I never see any naija pastor go isolation heal anybody from covid lol
276,11/6/20,I said idk
277,11/6/20,U Need to gerrout! 🚶🏿
278,11/6/20,Ciroc 🔵
279,3/6/20,Fuck hashtags G.... I just dey speak my mind.
280,3/6/20,Tbh Idk
281,3/6/20,Next election ! Use your voice and your votes wisely!!
282,3/6/20,Fela made songs before I was born about the issues of bad leadership and governance and even to this present administration!! my brudda nothing has changed. We gats do more
283,3/6/20,Inhuman !!!country is a mess ! Useless leaders!!
284,1/6/20,#SayNoToRape
285,1/6/20,God save the world ! Save the people ❤
286,1/6/20,Buhari/Trump same person lol only difference be say one sabi use twitter pass the other. Clueless!
287,8/3/21,#InternationalWomensDay
288,27/5/20,@starboyterri day!! Long life my G. Love 4 life! ❤❤
289,30/5/20,Police dey kill black Americans and Naija police dey kill Nigerians. No man fit sort this matter. God save us
290,15/5/20,Serious music +
291,13/5/20,My first love is 9! Wow! Boluwatife mi ❤
292,11/5/20,Miss Suya !!
293,11/5/20,Stay safe ! Stay inspired ❤
294,30/4/20,New music all year
295,30/4/20,"Wanna fuck to DAT ""balance"" song 😭💜"
296,30/4/20,This is how I dance to this song 😭
297,30/4/20,@starboyterri Terri Time!
298,28/4/20,Love to everyone spending these crazy times without family! ❤
299,14/4/20,Love pain but hate this one
300,14/4/20,Fractured finger 😢😢
301,6/4/20,Oluwa guide and protect 🙏
302,29/3/20,Let's run it g
303,29/3/20,Bored! Might just drop music yo fuk!
304,28/3/20,I am the best!! 😎
305,28/3/20,Wake up and give thanks.
306,28/3/20,All ma ladies! Starboy dey miss Una 😘
307,22/3/20,Everyday Mother’s Day ❤️🖤
308,22/3/20,Big stepper!! Happy birthday mentor!!! God bless you @TonyOElumelu !!
309,21/3/20,Thankful
310,21/3/20,Crazy ma nigga 😂!! 🔥🔥🔥
311,21/3/20,That eve bounce remix making me wanna be in the sun right now! 😎
312,19/3/20,U know I love dis 1 g! Send on. I’ll record tonight !
313,19/3/20,Teni makanaki...hmmmm ok.. Sunday night. Game on 💯
314,19/3/20,Lol Cuppy Na my nigga still...I owe her 1 !
315,18/3/20,🤣😂🤣 una go kee mi for here
316,19/3/20,Cuppy send me dollars !
317,19/3/20,Peppered snail 😍
318,19/3/20,I do!!
319,19/3/20,This is a very good idea 🤔
320,19/3/20,🤣 ! I go chop ur money too. Mo sin sara ni o . Ma fo
321,19/3/20,Snap! 😈
322,19/3/20,I go chop your money o lol
323,19/3/20,Oh how are you my friend
324,19/3/20,Naija government how far? 🤔
325,19/3/20,Song is fire still 🔥
326,19/3/20,Yo !!! 🔥🔥🔥 DM me let’s do it!
327,19/3/20,I play that everyday too!
328,19/3/20,I play this album everyday!
329,19/3/20,Anyway! I’m bored again today
330,17/3/20,Pls wear mask and gloves pls!
331,17/3/20,Got my snap bitches!....Let the foolery begin
332,17/3/20,Bored 🤡🤡🤡🤡🤡🤡🤡
333,17/3/20,World Sarz day ❤️🖤🦅 real champion!! @beatsbysarz
334,17/3/20,Japa japa 🛩🛩
335,15/3/20,Don’t forget to say a prayer for the world..❤️ love you all. Stay safe ❤️
336,15/3/20,Lol ok good night! I don try today!
337,15/3/20,Omo Na Riri go pay me child support once we born o!
338,15/3/20,Amen amen!! God pls guide and protect our people! 💔
339,15/3/20,U’re doing well 🦅
340,15/3/20,Ok Bizzle. Collect her CV. Management will review and revert 😎
341,15/3/20,God guide and protect
342,15/3/20,Explosions in Lagos? 😳😳 God take back 2020! 💔💔💔💔💔
343,15/3/20,About to email Ri ri this baby 🤔
344,15/3/20,I’m trying man ! I’m trying!
345,15/3/20,Hmmm 🤔
