S/N,Date,Tweet
187,9-3-2024,Wait wat ?? I just tweeted … nawa … anyway up 🇳🇬🇳🇬🇳🇬🇳🇬
188,9-3-2024,As a Nigerian of course I want AJ to win … but e get one soft spirit wey this Francis get and plus his story again … u go come Dey use style gbadun him way!! 😂 But gotta stick with the Homeland 🇳🇬
189,9-3-2024,When does the fight start fam?
190,8-3-2024,Miami 2moro !!! 💪🏾🔥Can’t wait to see yall! 🌎
191,8-3-2024,Wow dope
192,8-3-2024,Happy jumat
193,8-3-2024,Uncle sola ❤️
194,28-2-2024,No get time to sleep .. leave pressure for the weak .. 🎶🚀💪🏾
195,28-2-2024,Baby chop my money take another one Kpomo ….
196,26-2-2024,All my PA’s don get PA …. Wahalur
197,26-2-2024,I Dey record ….
198,26-2-2024,JAZZY !! 👑
199,25-2-2024,Credit alert 😀
200,25-2-2024,Tell truth My voice Dey ginger body …😂
201,24-2-2024,So u sabi play like this …
202,23-2-2024,"To our nation’s children, I remain grateful to be in a position to be able to help. Please accept my humble contribution. Together we shall shape a brighter future ! ⏳❤️

Check the official statement below for full details 🇳🇬"
203,23-2-2024,Who’s  online GTA ??
204,22-2-2024,Throw away the keys
205,22-2-2024,"New year , Same mission …. DOMINATE 🌎😍"
206,22-2-2024,Back in the gym today 💪🏾
207,21-2-2024,"Shoutout to the fam 
@dgeneralbitters
 
‘The gift of nature’"
208,21-2-2024,FOUNDATION ACCOUNT CREDITED…. More details to follow soon
209,20-2-2024,In all in all we can’t question him ! We thank God always! ❤️
210,20-2-2024,I and my foundation pledge the sum of 300 million Naira  to orphanages around Nigeria … as my yearly contribution to the Nation ❤️ .. details of disbursement tomorrow 🇳🇬
211,19-2-2024,Paris 📍
212,19-2-2024,"You have to be intentional 😂😂😂😂 
@Tunegee
 
@Prince_II
 
@BlackTycoone
 
@AsaAsika
 …"
213,18-2-2024,Stubborn 🚀
214,17-2-2024,"MADRID… you were too kind to me and my brothers 🇪🇸

Big happy birthday to Memphis who’s already back out here scoring goals and catching W’s 🏆"
215,16-2-2024,Got some new shows coming up for all my people! Which one are you coming to? Lots of surprises in store⏳
216,15-2-2024,Footballers Dey enjoy ooooo … be like I chose wrong profession 😂😂😂😂 bruhhhhhhh
217,15-2-2024,"An unforgettable evening in Paris where we celebrated with a personalised edition of L’Or de Jean Martell Réserve du château. That’s Timeless energy⏳✨

#Martell #BeTheStandoutSwift

Please enjoy responsibly. Forward only to people of legal drinking age."
218,15-2-2024,Love you huncho
219,14-2-2024,"After my next album I think a Davido x 
@KizzDaniel
 EP will be dope !"
220,14-2-2024,I suppose relocate but I go buy Belgium !!!
221,13-2-2024,📍Madrid
222,12-2-2024,Uganda /Kenya in March !! I can’t wait I’ve missed yall so much !!! 🇺🇬🇰🇪❤️🌎
223,12-2-2024,Power of positivity
224,12-2-2024,Usher’s superbowl performance 🤯🚀❤️ ….. bring back so much memories! Man is GOATED!!
225,10-2-2024,I pray for strength and comfort for the Wigwe family.  💔
226,10-2-2024,Jesus take control!!
227,10-2-2024,I’ll wave my flag girl your love too right like wristbands … 🤯🌎🚀
228,10-2-2024,Don make me over Dey pay …
229,7-2-2024,"Grammy week was a vibe! Thank you for all the love from my supporters and thank you to the 
@RecordingAcad
 for recognizing me ⏳

Big congrats to the winners of the night!!"
230,7-2-2024,Excellency 😀😀
231,7-2-2024,Good luck Eagles 🇳🇬
232,7-2-2024,NYC 📍
233,6-2-2024,"PARIS! We invaded the city and rocked the 
@Accor_Arena
 ⏳ 

Thank you for the love j'aime tous mes fans français❤️ 

Still a lot more coming in 2024."
234,5-2-2024,I love each and everyone of you !! We Dey game !! We will continue to deliver …
235,5-2-2024,I just want you to feel alright … 🎶
236,5-2-2024,"Congratulations on your win 
@Tyllaaaaaaa
 ! Big One for africa! Keep soaring ! 🔥⭐️"
237,31-1-2024,Paris on 🔥
238,30-1-2024,😂😂 chief !!! ❤️❤️❤️❤️
239,30-1-2024,Paris 📍🇫🇷
240,30-1-2024,Don’t play with God
241,29-1-2024,Ur mom …. Watch it happen
242,29-1-2024,Last night .. London. !! Magical ! ❤️🇬🇧
243,27-1-2024,Super eagles 🇳🇬 !!! Let’s get it  !!
244,26-1-2024,Need better amala before rehearsals
245,26-1-2024,London
246,26-1-2024,We no Dey do ‘it will grow on u ‘ for here …
247,24-1-2024,IMOLE 💪🏾❤️
248,18-1-2024,Chai 😍
249,18-1-2024,We Dey here !!!
250,18-1-2024,BADDEST X KALA ON RP ….
251,17-1-2024,Better behave yourself 😂 #HIT !!!!!!!!!!!!
252,17-1-2024,Gonna be an Amazing night … can’t wait ! ⏳❤️🇬🇧
253,15-1-2024,I suppose relocate but I go buy 🇧🇪
254,13-1-2024,Funny … u wey hold pass me
255,13-1-2024,Asa 2017 was the worst lmao
256,12-1-2024,It’s boring having money by yourself…
257,11-1-2024,FREEWAY!!! ROAD CLEAR !! AHH WHO DAT ? BADDEST ! 💣
