S/N,Date,Tweet
258,9-1-2024,Ji jo make a man go KEKE NAH PEPE !!!!!Una go dance tire … wait I Dey come ..
259,9-1-2024,Thank you to Numéro Netherlands for featuring me on their new cover issue ⏳
260,9-1-2024,I just recorded the hardest verse EVER  !!!!!
261,8-1-2024,My Hon ❤️✌🏾
262,6-1-2024,St croix tonight ! ⏳🌏❤️
263,5-1-2024,Super proud ❤️
264,3-1-2024,With oversized slippers
265,2-1-2024,Accra you showed so much love thank you for the energy ⏳
266,1-1-2024,"HAPPY NEW YEAR! ⁣
⁣
We shut it down to end the year! 2023 you were great to us!! ⁣
⁣
2024 TIMELESS CONTINUES ⏳"
267,31-12-2023,2023 Was a great year ! Thank you God ! For restoring happiness n Success in my life !!  2024 IM READY !! 🙏🏾❤️
268,30-12-2023,Who go help you no go stress you
269,30-12-2023,I love my fans so much
270,20-12-2023,50 we go share am!!!!!!
271,20-12-2023,My RI RI
272,20-12-2023,Keep playing u will find out
273,20-12-2023,HAT TRICK
274,20-12-2023,I made a pandemic
275,19-12-2023,CREDITED … 😋
276,19-12-2023,Fuck off then …. Ur not a fan
277,19-12-2023,Shawty say she Dey whine am for meeeeee!!!!!!
278,19-12-2023,YOUR FATHER  DEY GBA … NAH U KNOW IM 31 YEARS OLD … I WANT PEACE
279,19-12-2023,Una dey talk about fake products for naija?? Us nko ….. 😂😂😂
280,19-12-2023,New wiz Friday !!! Wtf!!! Replay ALL WEEKEND !!
281,19-12-2023,"Reflecting on 2023 it's crazy to look back on what we've done.                        

I'm grateful for the love on 'Timeless' -- from the fans sharing it, the Grammy nominations, the viral moments, the press runs, the energy at every incredible show. This year was an avalanche of achievements, from global stages to personal milestones. Here's to the music, the memories, and the magic that made 2023 truly TIMELESS ⏳                                    

Thank you to my family, my followers and God!"
282,19-12-2023,Lol we know who
283,19-12-2023,U wey be in house wan put me for problem !! 😂😂😂 ***
284,19-12-2023,When God gree for u he gree
285,19-12-2023,Dubai Dubai Dubai …… HABIBI LETS   RUN MADDDD 2NITE !! 🎄🎄🎄🎄
286,18-12-2023,The 🐐
287,18-12-2023,Mama 😍
288,18-12-2023,Facts 😀
289,18-12-2023,I see Sim .. I see wike … dem both see me … Rivers love OBO
290,15-12-2023,Damn just seeing this …. Next time chief !I travel tonight … ❤️
291,14-12-2023,Major flogging tonight !!!
292,14-12-2023,Abuja go too sweet ….
293,14-12-2023,Now u gotta delete ur tweet 😂…
294,14-12-2023,ABUJA CHOKE !!! 😀
295,14-12-2023,Is this a prank ???
296,14-12-2023,Abuja be like ur pple no wan do show ….
297,14-12-2023,Hyped for Abuja
298,8-12-2023,"Thank you to the 
@JHudShow
 for having me come perform and tell you what I’m all about ⏳"
299,7-12-2023,Beauty wey carry wahala 🎶🎶🎶
300,5-12-2023,Focused like never before
301,4-12-2023,Ur a problem ❤️❤️
302,3-12-2023,Sweety my belly ur like cake icing ….
303,3-12-2023,So person wey just really go flex for Dubai now on him own no fit post 😂😂 shit  funny AF …. I love it
304,3-12-2023,I say shorty say nah money nah money nah money …. 🎥🤫
305,2-12-2023,Timeless on the beach! Let’s go!
306,1-12-2023,"Thank you 
@RollingStone
 🌎🔥❤️"
307,1-12-2023,This morning I attended the U.S state of Georgia General assembly meeting with the Georgia House of Representatives and Georgia state senate to be recognized as an ‘Outstanding Georgia Citizen’ … God is good. 🇺🇸🌎🇳🇬
308,30-11-2023,Once I dress like homeless man to studio just know I’m leaving with a CLASSIC …. ☄️☄️🔥🔥🔥😇
309,28-11-2023,"I’m still full from the fufu n light soup wey we chop for  
@stonebwoy
 house two days ago …. 
@drlouisa_s
 God bless u my sister …. Love you guys !! 🇬🇭🇳🇬❤️…"
